hs_code,대분류 선택                                           
210,"육과식용설육(屑肉)(염장하거나염수장한것ㆍ건조하거나훈제한것으로한정한다),육이나설육(屑肉)의식용고운가루ㆍ거친가루"
301,활어
302,신선하거나냉장한어류[제0304호의어류의필레(fillet)와그밖의어육은제외한다]
303,냉동어류[제0304호의어류의필레(fillet)와기타어육은제외한다]
304,"어류의필레(fillet)와그밖의어육(잘게썰었는지에상관없으며신선한것,냉장ㆍ냉동한것으로한정한다)"
305,"건조한어류,염장이나염수장한어류,훈제한어류(훈제과정중이나훈제전에조리한것인지에상관없다),어류의고운가루ㆍ거친가루와펠릿(pellet)(식용에적합한것으로한정한다)"
306,"갑각류[껍데기가붙어있는것인지에상관없으며살아있는것과신선한것ㆍ냉장이나냉동한것ㆍ건조한것ㆍ염장이나염수장한것,훈제한것(껍데기가붙어있는것인지또는훈제전이나훈제과정중에조리한것인지에상관없다),껍데기가붙어있는상태로물에찌거나삶은것(냉장이나냉동한것ㆍ건조한것ㆍ염장이나염수장한것인지에상관없다),갑각류의고운가루ㆍ거친가루와펠릿(pellet)(식용에적합한것으로한정한다)을포함한다]"
307,"연체동물[껍데기가붙어있는지에상관없으며살아있는것과신선한것ㆍ냉장이나냉동한것ㆍ건조한것ㆍ염장이나염수장한것,훈제한것(껍데기가붙어있는것인지또는훈제전이나훈제과정중에조리한것인지에상관없다),연체동물의고운가루ㆍ거친가루와펠릿(pellet)(식용에적합한것으로한정한다)을포함한다]"
308,"수생(水生) 무척추동물[갑각류와 연체동물은 제외하며, 살아 있는 것과 신선한 것·냉장이나 냉동한 것·건조한 것, 염장이나 염수장한 것, 훈제한 것(갑각류와 연체동물은 제외하며, 훈제 전이나 훈제과정 중에 조리한 것인지에 상관없다), 수생(水生) 무척추동물(갑각류와 연체동물은 제외한다)의 고운 가루·거친 가루와 펠릿(pellet)(식용에 적합한 것으로 한정한다)을 포함한다]"
401,밀크와크림(농축하지않은것으로서설탕이나그밖의감미료를첨가하지않은것으로한정한다)
402,밀크와크림(농축하였거나설탕이나그밖의감미료를첨가한것으로한정한다)
403,버터밀크ㆍ응고밀크와응고크림ㆍ요구르트ㆍ케피어(kephir)와그밖의발효되거나산성화된밀크와크림(농축한것인지또는설탕이나그밖의감미료를첨가한것인지또는향ㆍ과실ㆍ견과류ㆍ코코아를첨가한것인지에상관없다)
404,유장(농축한것인지또는설탕이나그밖의감미료를첨가한것인지에상관없다)과따로분류된것외의천연밀크의성분을함유하는물품(설탕이나그밖의감미료를첨가한것인지에상관없다)
406,치즈와커드(curd)
410,기타  식용의  동물성생산품
502,돼지털ㆍ멧돼지털ㆍ오소리털과그밖의브러시제조용동물의털과이들의웨이스트(waste)
505,"새의깃털이나솜털이붙은가죽과그밖의부분,깃털과그부분(가장자리를정리했는지에상관없다),새의솜털(청정ㆍ소독ㆍ보존을위한처리이상의가공을하지않은것으로한정한다),새의깃털이나그부분의가루와웨이스트(waste)"
507,"아이보리(ivory)ㆍ귀갑(龜甲)ㆍ고래수염과그털ㆍ뿔(horn)ㆍ사슴뿔ㆍ발굽ㆍ발톱ㆍ부리(가공하지않은것과단순히정리한것으로한정하며,특정한모양으로깎은것은제외한다),이들의가루와웨이스트(waste)"
508,"산호 ,연체동물·갑각류·극피동물의  껍데기 ,오징어뼈와  그들의  분과  웨이스트"
510,"용연향 ,해리향 ,담즙 ,의약품제조용의  선 .기타동물성생산품"
511,따로분류되지않은동물성생산품과제1류나제3류의동물의사체로서식용에적합하지않은것
602,"그밖의살아있는식물(뿌리를포함한다)ㆍ꺾꽂이용가지ㆍ접붙임용가지,버섯의종균(種菌)"
603,절화(切花)와꽃봉오리(신선한것과건조ㆍ염색ㆍ표백ㆍ침투나그밖의가공을한것으로서꽃다발용이나장식용에적합한것으로한정한다)
604,"식물의잎ㆍ가지와그밖의부분(꽃과꽃봉오리가없는것으로한정한다),풀ㆍ이끼ㆍ지의(地衣)(신선한것과건조ㆍ염색ㆍ표백ㆍ침투나그밖의가공을한것으로서꽃다발용이나장식용에적합한것으로한정한다)"
703,양파ㆍ쪽파ㆍ마늘ㆍ리크(leek)와그밖의파속의채소(신선한것이나냉장한것으로한정한다)
706,당근ㆍ순무ㆍ샐러드용사탕무뿌리ㆍ선모(仙茅)ㆍ셀러리액(celeriac)ㆍ무와그밖에이와유사한식용뿌리(신선한것이나냉장한것으로한정한다)
707,"오이류 (신선 ,냉장한것 )"
709,그밖의채소(신선한것이나냉장한것으로한정한다)
710,냉동채소(조리하지않은것이나물에삶거나쪄서조리한것으로한정한다)
712,"건조한채소(원래모양인것,절단한것,얇게썬것,부순것,가루모양인것으로한정하며,더이상조제한것은제외한다)"
714,"매니옥(manioc)ㆍ칡뿌리ㆍ살렙(salep)ㆍ돼지감자(Jerusalemartichoke)ㆍ고구마와그밖에이와유사한전분이나이눌린(inulin)을다량함유한뿌리ㆍ괴경(塊莖)[자른것인지또는펠릿(pellet)모양인지에상관없으며신선한것,냉장ㆍ냉동한것,건조한것으로한정한다],사고야자(sago)의심(pith)"
802,"그밖의견과류(신선하거나건조한것으로한정하며,껍데기나껍질을벗겼는지에상관없다)"
805,감귤류의과실(신선하거나건조한것으로한정한다)
806,포도(신선하거나건조한것으로한정한다)
810,그밖의과실(신선한것으로한정한다)
